address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GAPS3KZ4YVEL4UYFAGTE6L6H6GRZ3KYBWGY2UTGTAJBXGUJLBCYQIXXA," 1,915,515.90 "," 2,717,316.00 "," 2,317,316.00 "," 400,000.10 "," 1,800.00 ", 14 , 13 , 27 
GBTYCT2VVWURNU23ZSR3IPSXU6BRWT3ELIOQJAJOKGIHCLLE6YDX4A7E," 565,128.00 "," 16,546,558.00 "," 8,573,782.00 "," 7,972,776.50 "," 35,877.51 "," 4,795 "," 12,037 "," 16,832 "
GCGTMT2X6NUV6ABEOAOSDI2YQ7FXQOQYKYA7KVZQ5ID67GQU3C6AIUGU," 121,289.38 "," 15,020,011.00 "," 7,587,372.50 "," 7,432,638.50 "," 33,444.63 "," 7,546 ", 426 ," 7,972 "
Inflation NULL address," 90,185.91 "," 90,185.91 "," 90,185.91 ", -   , -   , -   , 26 , 26 
GD3HDSI455WJIABRNCS4KYWS3BPFAWXV6KJAGRX6BWEOY55BG75OMA4E," 42,459.72 "," 53,523.65 "," 48,004.10 "," 5,519.55 ", 24.84 , 15 , 38 , 53 
GAF2FPWRW4PHW6RMEVDKHEQIR3YI6ONHKP4T4ZBHTPFMCOQJSY5DS5BE," 39,862.20 "," 39,862.20 "," 39,862.20 ", -   , -   , -   , 3 , 3 
GCJJ4U76F45TIYJDCPWZOCMKZKVV5IONKAS7T3IYAIRLY5N52ZNSSQ5W," 22,664.00 "," 22,664.00 "," 22,664.00 ", -   , -   , -   , 12 , 12 
GBKPUFSMWOKHRILXAWSO3IMDYPSIRK3VZVSINV5ZNRCHOWJBZRX46EF6," 14,199.98 "," 14,200.02 "," 14,200.00 ", 0.02 , 0.00 , 1 , 10 , 11 
GCNL2XTAOT47QHYJ4EJHKVKDUBWI35EF4G7APGD2PAATXHTABKEEGRE2," 12,300.98 "," 12,300.98 "," 12,300.98 ", -   , -   , -   , 3 , 3 
GAX3BK77MLYGPS7BXF34SGSZIJDGSZZWERTDLOO7ARDQ3BF6OA55SBNE," 12,200.00 "," 12,200.00 "," 12,200.00 ", -   , -   , -   , 7 , 7 
