address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count ,
GDIENNQ3BXCTB74ZYCQAGXCY7KTGFBZGHRMUVF3ZLIW6SMAZIGX2JCCS," 1,856,742.60 "," 99,414,168 "," 50,744,968.00 "," 48,669,200.00 "," 219,025.38 "," 33,190 "," 2,518 "," 35,708 ",
GAPS3KZ4YVEL4UYFAGTE6L6H6GRZ3KYBWGY2UTGTAJBXGUJLBCYQIXXA," 815,503.50 "," 2,036,244 "," 1,427,244.10 "," 609,000.10 "," 2,740.50 ", 16 , 15 , 31 ,
Inflation NULL address," 476,064.47 "," 476,064 "," 476,064.47 ", -   , -   , -   , 26 , 26 ,
GBUBOKEFUNF4ZZQA7QJCGYF54U4N2T5VV2QAN7RWQCVS75OOI5KSVCZS," 257,306.90 "," 99,397,648 "," 49,938,760.00 "," 49,458,888.00 "," 222,565.10 "," 6,566 "," 35,934 "," 42,500 ",
GB4UJS7KO33VW7QXJTKHJVK454WDQ5E7KF3HGSADXGKGFBE47WIBXPYE," 29,406.64 "," 29,412 "," 29,409.51 ", 2.85 , 0.01 , 1 , 5 , 6 ,
GA3KQ367GJ7A7GFN6C2DHGPWRBSKITPJQC5GOUX5Q3TXQJZDH42ECUII," 15,000.00 "," 15,000 "," 15,000.00 ", -   , -   , -   , 1 , 1 ,
GBLXMVSRLXX7PURSLJ3F74APG6SSQ2INOJMKRZRQORGXKZLM4OHDLXL2," 7,200.00 "," 7,200 "," 7,200.00 ", -   , -   , -   , 17 , 17 ,
GC6UMT6CLDOLXE2QXA5XF6Z2NY5IFLNLFWHSIY5MX6OR5UHW3Q7I27QX," 4,269.00 "," 4,269 "," 4,269.00 ", -   , -   , -   , 12 , 12 ,
GCXBROOWVUUDOUNGK3HXUWMLDTHEVI5DQEQZ2JKWOP6RM65Q32YF2FSR," 3,785.64 "," 3,786 "," 3,785.64 ", -   , -   , -   , 7 , 7 ,
GBKPUFSMWOKHRILXAWSO3IMDYPSIRK3VZVSINV5ZNRCHOWJBZRX46EF6," 3,700.00 "," 3,700 "," 3,700.00 ", -   , -   , -   , 4 , 4 ,
GAX3BK77MLYGPS7BXF34SGSZIJDGSZZWERTDLOO7ARDQ3BF6OA55SBNE," 3,500.00 "," 13,871 "," 8,697.39 "," 5,174.10 ", 23.28 , 3 , 13 , 16 ,
GD7DGBPI5JV5HTBYNKKDOCZXLC3XU6XPHMOQX3ORYQ44GWMIMMRAQKDE," 3,299.55 "," 3,500 "," 3,400.00 ", 100.00 , 0.45 , 2 , 3 , 5 ,
GC64GKG6KYN5EZDYMOSJKZ3BYMN5EIDENCNLJSN2SFWMG7OA3BAQKWP5," 3,153.55 "," 23,401 "," 13,300.00 "," 10,101.00 ", 45.45 , 6 , 15 , 21 ,
GCKWHILKEPHGH47CKCGXP7Y3ACOKXLRAF4VZE26UXZLHRVTQFQ67ER2O," 2,621.72 "," 2,624 "," 2,622.72 ", 1.00 , 0.00 , 1 , 4 , 5 ,
GCZ423C7FHEUYBZNWWX2SCNG3LRKBS3DSUDAOZL65G5KGESBUZNPXLEH," 2,612.69 "," 71,832 "," 37,300.00 "," 34,531.91 ", 155.39 , 72 , 76 , 148 ,
GCH64RFQNF4I55QBAK6KQJDL4IANE7KMU4SNLO4MOPUPYFKW2WTYJEY7," 2,529.62 "," 3,144 "," 2,837.53 ", 306.53 , 1.38 , 4 , 12 , 16 ,
GAWZMJW2EXYESX5ZS4BHAK5OPJIA25MCAT53J6GS2DJFYFBF5F4GRGVN," 2,443.04 "," 2,443 "," 2,443.06 ", 0.02 , 0.00 , 1 , 6 , 7 ,
GDDC5ETDMV52ABPEGWLD75GUTRJ3NEPJS7SUAM4OKBMZVXEW6DH22NXB," 2,110.31 "," 2,110 "," 2,110.31 ", -   , -   , -   , 5 , 5 ,
