address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GDIENNQ3BXCTB74ZYCQAGXCY7KTGFBZGHRMUVF3ZLIW6SMAZIGX2JCCS,"1,972,880.00","94,123,247.00","48,151,508.00","45,971,739.00","206,889.00",31416,1681,33097
GAPS3KZ4YVEL4UYFAGTE6L6H6GRZ3KYBWGY2UTGTAJBXGUJLBCYQIXXA,"515,502.50","1,736,243.00","1,127,243.00","609,000.00","2,740.50",16,14,30
Inflation NULL address,"448,784.00","448,784.00","448,784.00",0.00,0.00,0,19,19
GBUBOKEFUNF4ZZQA7QJCGYF54U4N2T5VV2QAN7RWQCVS75OOI5KSVCZS,"424,936.00","93,658,467.00","47,146,356.00",46512111,209309,4926,33506,38432
GB4UJS7KO33VW7QXJTKHJVK454WDQ5E7KF3HGSADXGKGFBE47WIBXPYE,"29,405.99","29,410.00","29,408.00",2,0.01,1,5,6
GA3KQ367GJ7A7GFN6C2DHGPWRBSKITPJQC5GOUX5Q3TXQJZDH42ECUII,"15,000.00","15,000.00","15,000.00",0,0,0,1,1
GCKKMJ6TPHMCI644H72MO3T5MYFOYHCRF6GILMOPJW62TXN4PBQNFSDA,"5,000.00","5,000.00","5,000.00",0,0,10,10,20
GC6UMT6CLDOLXE2QXA5XF6Z2NY5IFLNLFWHSIY5MX6OR5UHW3Q7I27QX,"4,259.00","4,259.00","4,259.00",0,0,0,8,8
GAX3BK77MLYGPS7BXF34SGSZIJDGSZZWERTDLOO7ARDQ3BF6OA55SBNE,"3,597.15","13,774.00","8,697.00",5077,22.85,2,13,15
GD7DGBPI5JV5HTBYNKKDOCZXLC3XU6XPHMOQX3ORYQ44GWMIMMRAQKDE,"3,299.55","3,500.00","3,400.00",100,0.45,2,3,5
GC64GKG6KYN5EZDYMOSJKZ3BYMN5EIDENCNLJSN2SFWMG7OA3BAQKWP5,"3,153.55","23,401.00","13,300.00","10,101.00",45.45,6,15,21
GCKWHILKEPHGH47CKCGXP7Y3ACOKXLRAF4VZE26UXZLHRVTQFQ67ER2O,"2,620.00","2,622.00","2,621.00",1,0,1,4,5
GC4K7OPFQO6QWXWDMWPI5HX4Z7STQ7PSENR6FHGRKFTRWYJQCO7PK4BT,"2,560.22","5,134.00","3,850.00",1284,5.78,3,1,4
GCZ423C7FHEUYBZNWWX2SCNG3LRKBS3DSUDAOZL65G5KGESBUZNPXLEH,"2,440.92","71,005.00","36,800.00",34205,154.08,70,74,144
GAWZMJW2EXYESX5ZS4BHAK5OPJIA25MCAT53J6GS2DJFYFBF5F4GRGVN,"2,406.00","2,406.00","2,406.00",0,0,1,5,6
GDDC5ETDMV52ABPEGWLD75GUTRJ3NEPJS7SUAM4OKBMZVXEW6DH22NXB,"2,110.00","2,110.00","2,110.00",0,0,0,5,5
GAKVPP5VHI5XDJHIBW7KR6KYFMA3HA7J2Q47KVGP6ZOYVSUSKGJG7SPD,"2,000.00","2,000.00","2,000.00",0,0,0,2,2
GAHNKKBEM3AJW2MPRSXUAS74LIPKWVNAF5HC5ILSGCH6Z35L4XXOSCTE,"1,799.69","6,390.00","4,100.00",2290,10.31,3,14,17
GAUOFNNSHIF3X3JVLX3SCTHXYXLNTJ5JI3BUGTEU22IVZLUQBKOZAHAS,"1,799.00","1,801.00","1,800.00",1,0,1,2,3
GAF2FPWRW4PHW6RMEVDKHEQIR3YI6ONHKP4T4ZBHTPFMCOQJSY5DS5BE,"1,712.00","1,712.00","1,712.00",0,0,1,2,3
GDOVPGZ6F6DXY4MPHLLL6VFF5IOOZG5ITM7LNR535W6OGHDAPD2IJTKA,"1,678.98","470,425.00","236,052.00",234373,0.02,1683,1948,3631
GDWHJ3ZU7PPH4JS26WNXCKJ2POJAOPPXIEX76L7654GQXAMS2O5RJIX4,"1,600.66","2,198.00","1,900.00",298,1.34,3,3,6
GA2FTWONTSPD6FEA5J6BQ3HBYZRNY7BSRZIKDJO55QLBDZUY4GOPQN65,"1,500.00","1,500.00","1,500.00",0,0,0,8,8
GARSO4VOEQXATU6ZJ2TQVMKYTLMXJCBNVBXSKU46KATJTU6Y6YOGEXJP,"1,411.00","1,411.00","1,411.00",0,0,0,1,1
GBJFWLBPI6GVGMWM43RI6NFGKZNYYBZLQPEGKIWK4OUGYFVXEUXPJVCW,"1,402.37","120,131.00","60,900.00",59231,266.63,40,40,80
GCQ6FA2GZQO2OB6QJC5MWECD7HCO2ZVRAUEKRJN54LVQAO5NVN3FJUBM,"1,400.53","7,386.00","4,400.00",2986,13.47,10,13,23
GA2SYSIRL4JIDEBVTN3ILQW4QLUPN52ZR7U56CCOARTO4DPFAGGLNGME,"1,210.55","1,411.00","1,311.00",100,0.45,1,8,9
GD3JO2HEUTXTPFMXALQ6VNTH2T3BCMDZTKNF6Y7S6I4FDOOZCITS6RFA,"1,202.00","1,202.00","1,202.00",0,0,0,4,4
GA4CJ4RVOXBAGHJR4M7IE2QYO7UMRW37NEERZLWE32TJE3QCLRUSHVRG,"1,195.05","3,400.00","2,300.00",1100,4.95,11,22,33
GDJ526NMR762YLM3XXVPHXF4B5GUAKPKJ6NUGWTVRNP7LKLYWVOBTG6K,"1,100.00","1,100.00","1,100.00",0.00,0,0,2,2
GCLJ4RQRG3HAN3GGO4DHMHI7STA6PKOBWQJLH3NRS56Z647SLYPHPN7I,"1,035.99","276,492.00","138,764.00",137728,0.01,1042,1294,2336
GCH64RFQNF4I55QBAK6KQJDL4IANE7KMU4SNLO4MOPUPYFKW2WTYJEY7,"1,033.62","1,647.00","1,341.00",306,1.38,4,7,11
GBGMWW27CUI4WTZAVX45CAGY2L5TT5IE4TTVN4PQBI6BBZ6LR7O4F3AK,"1,001.87","8,182.00","4,600.00",3582,16.13,2,3,5
GBMMYMLIBJQ3UVGKZWF2ESIDK2QWWB7BVW3H7OABLITXUCDVSSU7MEXL,992.00,992.00,992.00,0,0,0,6,6
GBW4XYJPEK7CI4TSK2T56I4TOXH3ARQQXPTVNRGZEDJNEDYP4V4OMP5I,973.99,"3,664,026.00","1,832,500.00",1831526,0.01,975,1023,1998
